Date;Time;HomeTeam;AwayTeam;FTHG;FTAG;FTR;Referee;HY;AY;HR;AR
11/07/2020;12:30;Norwich;West Ham;0;4;A;K Friend;1;0;0;0
11/07/2020;12:30;Watford;Newcastle;2;1;H;C Pawson;1;4;0;0
11/07/2020;15:00;Liverpool;Burnley;1;1;D;D Coote;1;2;0;0
11/07/2020;17:30;Sheffield United;Chelsea;3;0;H;A Marriner;1;0;0;0
11/07/2020;20:00;Brighton;Man City;0;5;A;G Scott;1;0;0;0
12/07/2020;12:00;Wolves;Everton;3;0;H;A Taylor;0;2;0;0
12/07/2020;14:15;Aston Villa;Crystal Palace;2;0;H;M Atkinson;2;4;0;1
12/07/2020;16:30;Tottenham;Arsenal;2;1;H;M Oliver;5;3;0;0
12/07/2020;19:00;Bournemouth;Leicester;4;1;H;S Attwell;2;1;0;1
13/07/2020;20:00;Man United;Southampton;2;2;D;C Kavanagh;1;3;0;0
14/07/2020;20:15;Chelsea;Norwich;1;0;H;J Moss;2;2;0;0
15/07/2020;18:00;Burnley;Wolves;1;1;D;M Dean;0;0;0;0
15/07/2020;18:00;Man City;Bournemouth;2;1;H;L Mason;1;1;0;0
15/07/2020;18:00;Newcastle;Tottenham;1;3;A;D Coote;2;3;0;0
15/07/2020;20:15;Arsenal;Liverpool;2;1;H;P Tierney;3;1;0;0
16/07/2020;18:00;Everton;Aston Villa;1;1;D;A Taylor;2;1;0;0
16/07/2020;18:00;Leicester;Sheffield United;2;0;H;M Oliver;1;2;0;0
16/07/2020;20:15;Crystal Palace;Man United;0;2;A;G Scott;1;2;0;0
16/07/2020;20:15;Southampton;Brighton;1;1;D;A Marriner;1;0;0;0
17/07/2020;20:00;West Ham;Watford;3;1;H;M Atkinson;0;2;0;0
18/07/2020;17:30;Norwich;Burnley;0;2;A;K Friend;0;0;2;0
19/07/2020;14:00;Bournemouth;Southampton;0;2;A;C Pawson;2;2;0;0
19/07/2020;16:00;Tottenham;Leicester;3;0;H;A Taylor;2;1;0;0
20/07/2020;18:00;Brighton;Newcastle;0;0;D;S Hooper;4;2;0;0
20/07/2020;18:00;Sheffield United;Everton;0;1;A;S Attwell;1;3;0;0
20/07/2020;20:15;Wolves;Crystal Palace;2;0;H;P Bankes;2;1;0;0
21/07/2020;18:00;Watford;Man City;0;4;A;M Oliver;2;0;0;0
21/07/2020;20:15;Aston Villa;Arsenal;1;0;H;C Kavanagh;2;4;0;0
22/07/2020;18:00;Man United;West Ham;1;1;D;P Tierney;3;1;0;0
22/07/2020;20:15;Liverpool;Chelsea;5;3;H;A Marriner;1;0;0;0
26/07/2020;16:00;Arsenal;Watford;3;2;H;M Dean;3;3;0;0
26/07/2020;16:00;Burnley;Brighton;1;2;A;J Moss;3;0;0;0
26/07/2020;16:00;Chelsea;Wolves;2;0;H;S Attwell;2;3;0;0
26/07/2020;16:00;Crystal Palace;Tottenham;1;1;D;A Marriner;3;2;0;0
26/07/2020;16:00;Everton;Bournemouth;1;3;A;C Kavanagh;1;0;0;0
26/07/2020;16:00;Leicester;Man United;0;2;A;M Atkinson;1;4;1;0
26/07/2020;16:00;Man City;Norwich;5;0;H;C Pawson;1;1;0;0
26/07/2020;16:00;Newcastle;Liverpool;1;3;A;A Taylor;1;0;0;0
26/07/2020;16:00;Southampton;Sheffield United;3;1;H;P Bankes;0;1;0;0
26/07/2020;16:00;West Ham;Aston Villa;1;1;D;M Oliver;2;1;0;0
